MSA.Code,MSA.Name,Median Earnings: Men,Median Earnings: Women,Employment: Men,Employment: Women,Employment: Total,Earnings Difference (Women vs. Men),Earnings Percentage (Women vs. Men),Employment Difference (Women vs. Men),Employment Percentage (Women vs. Total),Group
17500,"Clewiston, FL",NA,NA,9,0,9,NA,NA,9,0,"Life, Physical, and Social Sciences"
17540,"Clinton, IA",53199,35764,8955,6637,15592,17435,0.672268276,2318,0.425667009,All (STEM and Non-STEM)
17540,"Clinton, IA",86754,46000,549,88,637,40754,0.530234917,461,0.138147567,All STEM
17540,"Clinton, IA",94018,50469,141,33,174,43549,0.536801464,108,0.189655172,Computer and Mathematical
17540,"Clinton, IA",86823,NA,319,25,344,NA,NA,294,0.072674419,Architecture and Engineering
17540,"Clinton, IA",72074,44167,89,30,119,27907,0.612800733,59,0.25210084,"Life, Physical, and Social Sciences"
17580,"Clovis, NM",39796,28879,8725,5703,14428,10917,0.725675947,3022,0.39527308,All (STEM and Non-STEM)
17580,"Clovis, NM",64063,26711,318,162,480,37352,0.416948941,156,0.3375,All STEM
17580,"Clovis, NM",60395,14697,186,118,304,45698,0.243347959,68,0.388157895,Computer and Mathematical
17580,"Clovis, NM",76875,NA,81,0,81,NA,NA,81,0,Architecture and Engineering
17580,"Clovis, NM",65938,65800,51,44,95,138,0.997907125,7,0.463157895,"Life, Physical, and Social Sciences"
17620,"Coamo, PR",23775,21667,4425,3174,7599,2108,0.911335436,1251,0.417686538,All (STEM and Non-STEM)
17620,"Coamo, PR",53214,34694,238,79,317,18520,0.651971286,159,0.249211356,All STEM
17620,"Coamo, PR",NA,NA,0,23,23,NA,NA,-23,1,Computer and Mathematical
17620,"Coamo, PR",54167,NA,178,0,178,NA,NA,178,0,Architecture and Engineering
17620,"Coamo, PR",NA,NA,60,56,116,NA,NA,4,0.482758621,"Life, Physical, and Social Sciences"
17640,"Coco, PR",20636,19742,2645,2174,4819,894,0.956677651,471,0.45113094,All (STEM and Non-STEM)
17640,"Coco, PR",31555,NA,273,46,319,NA,NA,227,0.144200627,All STEM
17640,"Coco, PR",NA,NA,28,18,46,NA,NA,10,0.391304348,Computer and Mathematical
17640,"Coco, PR",24985,NA,165,28,193,NA,NA,137,0.14507772,Architecture and Engineering
17640,"Coco, PR",NA,NA,80,0,80,NA,NA,80,0,"Life, Physical, and Social Sciences"
17660,"Coeur d'Alene, ID",47201,36830,28306,19589,47895,10371,0.780280079,8717,0.408998852,All (STEM and Non-STEM)
17660,"Coeur d'Alene, ID",64948,54633,1700,522,2222,10315,0.841180637,1178,0.234923492,All STEM
17660,"Coeur d'Alene, ID",68958,63988,667,195,862,4970,0.927927144,472,0.226218097,Computer and Mathematical
17660,"Coeur d'Alene, ID",68818,54369,761,200,961,14449,0.790040396,561,0.208116545,Architecture and Engineering
17660,"Coeur d'Alene, ID",53947,49413,272,127,399,4534,0.915954548,145,0.318295739,"Life, Physical, and Social Sciences"
17700,"Coffeyville, KS",46308,32970,5668,3884,9552,13338,0.711972013,1784,0.406616415,All (STEM and Non-STEM)
17700,"Coffeyville, KS",81250,56563,293,87,380,24687,0.69616,206,0.228947368,All STEM
17700,"Coffeyville, KS",73750,31528,93,45,138,42222,0.427498305,48,0.326086957,Computer and Mathematical
17700,"Coffeyville, KS",81797,78750,183,36,219,3047,0.962749245,147,0.164383562,Architecture and Engineering
17700,"Coffeyville, KS",90375,NA,17,6,23,NA,NA,11,0.260869565,"Life, Physical, and Social Sciences"
17740,"Coldwater, MI",42229,34681,8085,5387,13472,7548,0.821260271,2698,0.39986639,All (STEM and Non-STEM)
17740,"Coldwater, MI",76172,52250,325,109,434,23922,0.685947592,216,0.251152074,All STEM
